﻿"ID","Severity","Last Update","Initial Update","Count","Description",
"2465","Informational","04/06/2018 01:28","04/06/2018 01:28","1","Browser logout: System Administrator - 127.0.0.1(localhost).",
"2464","Informational","04/06/2018 01:28","04/06/2018 01:28","1","Browser login: System Administrator - 127.0.0.1(localhost).",
"2463","Informational","04/06/2018 01:28","04/06/2018 01:28","1","Browser logout: System Administrator - 127.0.0.1(localhost).",
"2462","Informational","04/06/2018 01:28","04/06/2018 01:28","1","Browser login: System Administrator - 127.0.0.1(localhost).",
"2461","Informational","04/06/2018 01:28","04/06/2018 01:28","3","Browser logout: System Administrator - 127.0.0.1(localhost).",
"2460","Informational","04/06/2018 01:28","04/06/2018 01:28","2","Browser login: System Administrator - 127.0.0.1(localhost).",
"2459","Informational","04/06/2018 01:27","04/06/2018 01:27","1","On-board clock set; was 01/01/1970  00:03:04.",
"2458","Caution","[NOT SET] ","[NOT SET] ","1","Server reset.",
"2457","Caution","[NOT SET] ","[NOT SET] ","1","Server reset.",
"2456","Informational","[NOT SET] ","[NOT SET] ","1","APO: iLO attempting to power-on the system.",
"2455","Caution","[NOT SET] ","[NOT SET] ","1","Power restored to iLO.",
